Place,lng,lat,Value
空港北町,131.035,33.845,123.5
東谷,130.865,33.77833333,122
行橋,130.975,33.71333333,158
八幡,130.7433333,33.85166667,137.5
宗像,130.5383333,33.80833333,164.5
飯塚,130.6933333,33.65166667,142
博多,130.4516667,33.58333333,175
福岡,130.375,33.58166667,167
前原,130.19,33.56,191.5
早良脇山,130.3533333,33.48833333,191
太宰府,130.49,33.49666667,148.5
添田,130.855,33.55833333,258.5
英彦山,130.9233333,33.48833333,285.5
朝倉,130.695,33.40666667,253.5
耳納山,130.625,33.29166667,278.5
黒木,130.645,33.225,287.5
久留米,130.4933333,33.30333333,271
柳川,130.41,33.16,292
大牟田,130.4733333,33.00666667,388.5
鳥栖,130.5166667,33.385,233.5
佐賀,130.305,33.265,209
北山,130.22,33.41333333,209
唐津,129.955,33.45833333,232
大町,130.1116667,33.22,169
白石,130.1483333,33.18333333,186.5
伊万里,129.8783333,33.26666667,208
嬉野,129.995,33.11666667,234.5
川副,130.3016667,33.14833333,262.5
芦辺,129.7216667,33.8,95.5
石田,129.785,33.74833333,177
鰐浦,129.445,34.69833333,169.5
美津島,129.33,34.285,198.5
厳原,129.2916667,34.19666667,253.5
平戸,129.55,33.36,184.5
松浦,129.7116667,33.34166667,236.5
佐世保,129.7266667,33.15833333,228.5
福江,128.8266667,32.69333333,146
上大津,128.8316667,32.665,129.5
大瀬戸,129.6316667,32.94833333,223.5
有川,129.1183333,32.98166667,193.5
長浦岳,129.7383333,32.90833333,376.5
長崎,129.8666667,32.73333333,153
大村,129.9133333,32.91666667,357
野母崎,129.74,32.57833333,147
諫早,130.025,32.84333333,213
雲仙岳,130.2616667,32.73666667,198
島原,130.3616667,32.76,168
口之津,130.1933333,32.61166667,107
国見,131.59,33.675,166
中津,131.245,33.58666667,233.5
豊後高田,131.4333333,33.57,208
耶馬渓,131.115,33.445,242.5
日田,130.9283333,33.32166667,240.5
椿ヶ鼻,130.915,33.19,437.5
玖珠,131.155,33.29166667,294
院内,131.3166667,33.42,203.5
武蔵,131.7366667,33.47833333,233.5
杵築,131.5966667,33.41666667,265.5
湯布院,131.3466667,33.25333333,283
大分,131.6183333,33.235,252.5
佐賀関,131.865,33.24833333,141.5
臼杵,131.7966667,33.13166667,76
竹田,131.3983333,32.97333333,105
佐伯,131.9016667,32.95,61.5
蒲江,131.9233333,32.795,95
宇目,131.675,32.845,72
南小国,131.0666667,33.10333333,344
鹿北,130.6916667,33.115,341.5
菊池,130.7816667,32.945,215
岱明,130.5116667,32.915,221.5
阿蘇乙姫,131.04,32.94666667,247
高森,131.125,32.82166667,185
南阿蘇,131.0133333,32.83166667,357.5
益城,130.855,32.83666667,164.5
熊本,130.7066667,32.81333333,167.5
宇土,130.6566667,32.7,158
甲佐,130.81,32.645,222
三角,130.4783333,32.61166667,132
多良木,130.95,32.295,328
湯前横谷,131.0433333,32.26333333,386.5
上,130.905,32.225,354
人吉,130.755,32.21666667,299
山江,130.7466667,32.30166667,379.5
五木,130.8266667,32.395,339
八代,130.6066667,32.47333333,159
松島,130.4466667,32.515,124
本渡,130.18,32.46833333,107.5
田浦,130.5083333,32.36333333,359
一勝地,130.645,32.245,357
水俣,130.4066667,32.205,367.5
牛深,130.0266667,32.19666667,363
古江,131.82,32.71166667,92
高千穂,131.29,32.71166667,152.5
鞍岡,131.1566667,32.64333333,142.5
日之影,131.4066667,32.68166667,104
延岡,131.6566667,32.58166667,113
北方,131.525,32.56166667,124.5
椎葉,131.1033333,32.475,233.5
諸塚,131.335,32.51666667,156.5
日向,131.6,32.40833333,118.5
都農,131.5416667,32.28333333,174.5
神門,131.3316667,32.385,189
西米良,131.1516667,32.24,293
高鍋,131.475,32.12333333,133.5
西都,131.4133333,32.06333333,153
国富,131.2966667,32.00666667,185.5
加久藤,130.81,32.04666667,209
小林,130.9533333,32,142
えびの,130.84,31.945,276
野尻,131.1566667,31.95666667,171
都城,131.0816667,31.73,229.5
宮崎,131.4133333,31.93833333,177.5
赤江,131.4483333,31.87666667,173.5
田野,131.3083333,31.84333333,204.5
深瀬,131.25,31.63666667,297
油津,131.4066667,31.57833333,141
串間,131.22,31.465,157
阿久根,130.2,32.02666667,211
大口,130.6266667,32.04666667,218.5
紫尾山,130.3666667,31.98,202
さつま柏原,130.455,31.91666667,187.5
中甑,129.8666667,31.835,143.5
川内,130.315,31.83333333,180
溝辺,130.7183333,31.80333333,198.5
八重山,130.4383333,31.74666667,267.5
東市来,130.3283333,31.66833333,168.5
鹿児島,130.5466667,31.555,140.5
加世田,130.325,31.415,144
吉ケ別府,130.8616667,31.45833333,310.5
喜入,130.54,31.38666667,194
枕崎,130.2916667,31.27166667,104.5
指宿,130.6366667,31.25,248
内之浦,131.055,31.27666667,177.5
種子島,130.9816667,30.72,169
中種子,130.9916667,30.605,101
上中,130.9016667,30.40666667,86.5
尾之間,130.555,30.235,128.5
名瀬,129.495,28.37833333,147.5
屋久島,130.6583333,30.385,76
沖永良部,128.705,27.43166667,47.5
出水,130.3516667,32.09333333,198.5
牧之原,130.8433333,31.66166667,212
志布志,131.095,31.47833333,278.5
鹿屋,130.8633333,31.39166667,385.5
古仁屋,129.315,28.14333333,66.5
