day,time,name,lat,lng,depth,m
2016/04/16,0:21:50,熊本県熊本地方,32.669,130.751,-10,2.8
2016/04/16,0:25:52,熊本県熊本地方,32.669,130.751,-10,2.2
2016/04/16,1:05:42,熊本県熊本地方,32.703,130.801,-15,3.3
2016/04/16,1:13:19,熊本県熊本地方,32.751,130.802,-8,2.3
2016/04/16,1:25:05,熊本県熊本地方,32.751,130.752,-12,7.3
2016/04/16,1:26:53,熊本県熊本地方,32.653,130.718,-10,4.7
2016/04/16,1:28:00,熊本県熊本地方,32.668,130.717,-13,4.4
2016/04/16,1:29:11,熊本県熊本地方,32.734,130.753,-10,4.6
2016/04/16,1:30:08,熊本県熊本地方,32.835,130.801,-13,4.4
2016/04/16,1:30:52,熊本県熊本地方,32.636,130.701,-11,5.3
2016/04/16,1:32:04,熊本県阿蘇地方,32.934,130.985,-12,3.9
2016/04/16,1:33:21,熊本県熊本地方,32.819,130.818,-12,4.6
2016/04/16,1:34:25,熊本県熊本地方,32.867,130.869,-9,4.3
2016/04/16,1:35:55,大分県中部,33.267,131.335,-9,3.7
2016/04/16,1:36:32,熊本県熊本地方,32.701,130.75,-11,3.4
2016/04/16,1:36:33,大分県北部,33.319,131.334,-11,2.5
2016/04/16,1:36:50,熊本県熊本地方,32.667,130.717,-13,4.1
2016/04/16,1:38:07,大分県中部,33.285,131.451,-6,3.2
2016/04/16,1:38:22,熊本県熊本地方,32.735,130.751,-13,4.5
2016/04/16,1:39:35,大分県中部,33.268,131.367,-12,3.6
2016/04/16,1:39:43,熊本県阿蘇地方,32.951,131.102,-8,4
2016/04/16,1:40:58,大分県中部,33.201,131.3,-6,2.9
2016/04/16,1:41:18,熊本県熊本地方,32.667,130.717,-12,3.8
2016/04/16,1:41:57,熊本県阿蘇地方,32.902,131.001,-8,3.6
2016/04/16,1:42:36,大分県中部,33.268,131.351,-9,3.1
2016/04/16,1:42:59,熊本県阿蘇地方,32.936,131.101,-10,3
2016/04/16,1:43:09,熊本県熊本地方,32.786,130.834,-13,3.9
2016/04/16,1:43:35,大分県中部,33.234,131.319,-9,3.3
2016/04/16,1:44:07,熊本県熊本地方,32.75,130.752,-15,5.4
2016/04/16,1:44:49,熊本県熊本地方,32.652,130.701,-13,4.3
2016/04/16,1:45:28,熊本県阿蘇地方,32.934,131.084,-9,3.9
2016/04/16,1:45:55,熊本県熊本地方,32.852,130.886,-11,5.9
2016/04/16,1:47:25,熊本県阿蘇地方,32.95,131.086,-9,3.6
2016/04/16,1:48:04,大分県中部,33.268,131.418,-3,不明
2016/04/16,1:48:44,熊本県熊本地方,32.684,130.734,-13,3.6
2016/04/16,1:48:50,大分県中部,33.251,131.367,-10,3.2
2016/04/16,1:49:27,熊本県熊本地方,32.868,130.902,-14,3.5
2016/04/16,1:49:44,大分県中部,33.268,131.368,-10,3.1
2016/04/16,1:50:46,大分県中部,33.284,131.501,-10,2.6
2016/04/16,1:50:52,熊本県熊本地方,32.685,130.735,-10,3.5
2016/04/16,1:51:48,熊本県熊本地方,32.802,130.836,-4,3.9
